product_title,positive_rate
"Britney Spears Women's Perfume, Fantasy, Eau De Parfum EDP Spray for Women, 3.3 Fl Oz",0.74
Bulgarian Rose Perfume Roll-On with Natural Rose Oil - Alcohol Free- Natural Rose Aromatic Fragrance - Unisex Rose Perfume - Perfect for Everyone - 9ml,0.6578947368421053
Byredo Blanche by Byredo Vial (sample) .06 oz,0.7105263157894737
"Byredo Gypsy Water Edp Spray for Unisex, 100 ML / 3.3 FL.OZ",0.671875
"Calvin Klein Eternity Men's Deodorant Spray– With Notes of Mandarin, Sage, Cedarwood & Amber – 5.3 fl oz.",0.72
Carpe Clinical Strength Deodorant + Clinical Antiperspirant - Clinical Grade Solid Stick - Fresh Linen Scent - Combat Excessive Underarm Sweating - Great for Hyperhidrosis,0.5
"Carpe Underarm Antiperspirant and Deodorant, Clinical strength antiperspirant with all-natural eucalyptus scent, Combat excessive sweating and stay fresh. Great for hyperhidrosis (Pack of 3)",0.66
"Carpe Underarm Antiperspirant and Deodorant, Pack of 3-WITH 3 FREE ON-THE-GO WIPES!",0.49
Chanel No. 5 by Chanel for Women 0.05 oz Eau de Parfum Sampler Vial Spray,0.54
"Chloe Love Story Eau de Parfum Spray for Women, 1.7 Ounce",0.875
Chloe Rose Naturelle Intense for Women - 1.6 oz EDP Spray,1.0
"Choco Musk Eau de Parfum Spray for Women, 1.7 Ounce",0.88
"Cologne Organizer for Men - 4 Tier Walnut Black Wooden Cologne Display Stand with Drawer and Hidden Compartment, Mens Cologne Holder Shelf for Organizing and Storing, Walnut Black",0.6875
"Cologne Organizer for Men, 5 Tier White Cologne Shelf, Perfume Stand with Drawer and Hidden Compartment Perfume Display Holder - A Gift for Men",0.9285714285714286
"Croc Classic Silver Titanium Flat Iron Hair Straightener, 1.5 Inch",0.71
"DEMETER Coconut Perfume Oil Roll on, .33 oz, Long-Lasting",0.15384615384615385
"DIBALA Enhanced Scent Pheromone Perfume for Women, Long Lasting Natural Roll On Perfume Oil, Travel Size 10ml (0.34 fl oz)",1.0
DIY Sensual Perfume Making Kit| Aromatic Ingredients| Perfumery Solvent| Spray Bottle & Guided Formulations to Create Custom Luxury Eau De Parfum for Women| Perfect Scented Gift,0.0
"Daisy By Marc Jacobs for Women Eau De Toilette Spray, 1.7 Fl Oz",0.86
"Derm Dude Happy Sack Ball Deodorant & Anti Chafing Cream for Men | Formulated With All-Natural DeoPlex for Odor Control | Aluminum Free Nut Love Cooling Cream - Candy Cane Scent, 2 oz (1 Pack)",0.76
"Derm Dude Happy Sack Ball Deodorant & Anti Chafing Cream for Men | Formulated With All-Natural DeoPlex for Odor Control | Aluminum Free Nut Love Cooling Cream - Coconut Rush Scent, 2 oz (1 Pack)",0.76
Dior Miss Blooming Bouquet Perfume Women Mini EDT Splash 0.17 Ounce,0.7209302325581395
"Donna Karan Cashmere Mist Aluminum Free Deodorant Stick For Women, 100% Aluminum & Alcohol Free, 1.7 Oz.",0.6
ECO ROOTS Natural Deodorant for Women & Men | Organic Deodorant Cream Non Aluminum | Baking Soda Free Healthy Deoderant for Body & Private Parts | All Vegan Pit Paste Zero Sweat | Coconut Scent,0.81
ECO ROOTS Natural Deodorant for Women & Men | Organic Deodorant Cream Non Aluminum | Baking Soda Free Healthy Deoderant for Body & Private Parts | All Vegan Pit Paste Zero Sweat |Lavender Scent,0.81
"ENVIRONMENT Inspired by Designer Perfume DYPT Baies 10ml Roll-on Perfume (Baies | Currants | Quince) Body Oil Fragrance, Roll On Oil, Body Fragrance for Women & Men, Luxury Scent, Vegan & Cruelty-Free",1.0
"ENVIRONMENT Inspired by Designer Perfume DYPT Hand Soap, 300ml Luxury Liquid Hand Soap (Baies | Currants | Quince) Home Essentials, Kitchen & Bathroom Hand Soap, Hand Wash, Vegan & Cruelty-Free",0.75
"Eau de Noir Underwear Perfume, 0.169 fl oz (5 ml)",0.3333333333333333
El perfume: Historia de un asesino (Spanish Edition),0.48484848484848486
Elixir: A Parisian Perfume House and the Quest for the Secret of Life,1.0
"Emper Intimation, for men - 100ml/3.3ONZ",0.46296296296296297
"Empty Frosted Glass Spray Bottle 3.4oz, Perfume Atomizer, Fine Mist Spray (2 PACK)",0.75
"Enhanced Scents Pheromone Perfume, Venom Pheromone Perfume for Women, The Original Scent Perfume (2Pcs)",0.4020618556701031
Essence and Alchemy: A Natural History of Perfume,0.8571428571428571
Fantasy/Britney Spears Depp Spray 3.3 Oz (W),0.82
