product_title,description,positive_rate
"Lattafa Bade'e Al Oud Sublime - Tropical, Fruity, Fresh, Vanilla - Eau de Parfum Long-Lasting Fragrance for Unisex, 3.40 Ounce / 100 ml","Lattafa Bade'e Al Oud Sublime - Tropical, Fruity, Fresh, Vanilla - Eau de Parfum Long-Lasting Fragrance for Unisex, 3.40 Ounce / 100 ml, fruity, fresh, tropical, rose, mossy, vanilla, earthy, green, moderate, moderate, female",0.75
JAFRA Tender Moments Fresh Baby Cologne,"JAFRA Tender Moments Fresh Baby Cologne, , moderate, moderate, unisex",0.78
"Lattafa Khamrah - Vanilla, Warm Spicy, Amber, Cinnamon - Eau de Parfum Long-Lasting Fragrance for Unisex, 3.40 Ounce / 100 ml","Lattafa Khamrah - Vanilla, Warm Spicy, Amber, Cinnamon - Eau de Parfum Long-Lasting Fragrance for Unisex, 3.40 Ounce / 100 ml, sweet, warm spicy, vanilla, amber, cinnamon, woody, fresh spicy, fruity, long lasting, strong, unisex",0.9
Jo Malone Lime Basil Mandarin by Jo Malone for Unisex - 3.4 oz Cologne Spray ( Pack May Vary ),"Jo Malone Lime Basil Mandarin by Jo Malone for Unisex - 3.4 oz Cologne Spray ( Pack May Vary ), citrus, aromatic, fresh spicy, green, woody, herbal, moderate, moderate, unisex",0.684932
"Jo Malone Wood Sage & Sea Salt Cologne Spray for Women, 1 Ounce","Jo Malone Wood Sage & Sea Salt Cologne Spray for Women, 1 Ounce, aromatic, salty, marine, citrus, musky, herbal, soft spicy, floral, aquatic, weak, intimate, unisex",0.69
"Victoria's Secret Tease Eau de Parfum, Notes of White Gardenia, Anjou Pear & Black Vanilla, Perfumes for Women (1.7 oz)","Victoria's Secret Tease Eau de Parfum, Notes of White Gardenia, Anjou Pear & Black Vanilla, Perfumes for Women (1.7 oz), vanilla, white floral, sweet, fruity, aquatic, lactonic, powdery, fresh, moderate, moderate, female",0.867347
"Love Struck Eau De Parfum Spray for Women by Vera Wang, 3.4 Ounce","Love Struck Eau De Parfum Spray for Women by Vera Wang, 3.4 Ounce, musky, fruity, tropical, powdery, floral, citrus, tuberose, aquatic, woody, amber, moderate, intimate, female",0.87
Gucci Guilty for Men 3.0 oz Eau de Parfum Spray,"Gucci Guilty for Men 3.0 oz Eau de Parfum Spray, woody, fresh spicy, aromatic, citrus, lavender, musky, white floral, patchouli, moderate, moderate, male",0.86
Valentino Donna Born In Roma Intense for Women - 1.7 oz EDP Spray,"Valentino Donna Born In Roma Intense for Women - 1.7 oz EDP Spray, woody, vanilla, fruity, soft spicy, white floral, powdery, floral, musky, green, citrus, moderate, moderate, female",0.62963
"Gucci Bloom for Women Eau De Parfum Spray, 1.6 Oz","Gucci Bloom for Women Eau De Parfum Spray, 1.6 Oz, white floral, tuberose, moderate, moderate, female",0.808081
"Britney Spears Curious, Eau De Parfum EDP Spray for Women, 3.3 Fl Oz","Britney Spears Curious, Eau De Parfum EDP Spray for Women, 3.3 Fl Oz, floral, white floral, aquatic, fruity, tuberose, sweet, powdery, musky, fresh, woody, moderate, moderate, female",0.82
"Guerlain Shalimar Eau De Parfum Spray for Women, 3 Ounce","Guerlain Shalimar Eau De Parfum Spray for Women, 3 Ounce, citrus, amber, woody, vanilla, balsamic, powdery, smoky, leather, animalic, warm spicy, long lasting, strong, female",0.78
Fantasy/Britney Spears Depp Spray 3.3 Oz (W),"Fantasy/Britney Spears Depp Spray 3.3 Oz (W), sweet, fruity, tropical, fresh, chocolate, moderate, moderate, female",0.82
4711 by Muelhens Original Eau de Cologne 13.5 fl oz (400 ml),"4711 by Muelhens Original Eau de Cologne 13.5 fl oz (400 ml), citrus, aromatic, fresh spicy, very weak, intimate, unisex",0.83
"Ard Al Zaafaran Turab Al Dhahab Eau De Parfum Spray for Women, 3.4 Ounce","Ard Al Zaafaran Turab Al Dhahab Eau De Parfum Spray for Women, 3.4 Ounce, coconut,vanilla,sweet,musky,powdery,citrus,white floral,lactonic,fresh spicy,tropical, moderate, moderate, female",0.72
Dior Miss Blooming Bouquet Perfume Women Mini EDT Splash 0.17 Ounce,"Dior Miss Blooming Bouquet Perfume Women Mini EDT Splash 0.17 Ounce, floral,rose,fresh,fruity,musky,citrus,powdery,sweet, moderate, moderate, female",0.72093
"Jaguar Classic Black, 3.40 Ounce","Jaguar Classic Black, 3.40 Ounce, aromatic,woody,citrus,green,fresh spicy,fresh,fruity,marine,musky,powdery, moderate, moderate, male",0.8
"Tiramisu Coco for Unisex Eau De Parfum, 3.4 Fl. Oz","Tiramisu Coco for Unisex Eau De Parfum, 3.4 Fl. Oz, sweet,vanilla,almond,fruity,coffee,warm spicy,amber, moderate, moderate, unisex",0.785714
Chanel No. 5 by Chanel for Women 0.05 oz Eau de Parfum Sampler Vial Spray,"Chanel No. 5 by Chanel for Women 0.05 oz Eau de Parfum Sampler Vial Spray, woody,aldehydic,fresh,white floral,powdery,earthy,yellow floral,iris,citrus,floral, long lasting, moderate, female",0.54
"Byredo Gypsy Water Edp Spray for Unisex, 100 ML / 3.3 FL.OZ","Byredo Gypsy Water Edp Spray for Unisex, 100 ML / 3.3 FL.OZ, woody,aromatic,fresh spicy,citrus,powdery,vanilla,amber,balsamic,warm spicy, moderate, intimate, unisex",0.671875
Rasasi Aiyara for Men - 3.38 oz EDP Spray,"Rasasi Aiyara for Men - 3.38 oz EDP Spray, fruity,sweet,powdery,floral,rose,fresh,woody,white floral,musky,amber, eternal, enormous, female",0.0
"Chloe Love Story Eau de Parfum Spray for Women, 1.7 Ounce","Chloe Love Story Eau de Parfum Spray for Women, 1.7 Ounce, white floral,citrus,musky,feuity,sweet,fresh spicy,woody,rose,fresh,powdery, moderate, moderate, female",0.875
N5 Chanel Timeless Fragrance,"N5 Chanel Timeless Fragrance, aldehydic,woody,fresh,yellow floral,white floral,vanilla,sweet,powdery,floral,soapy, moderate, moderate, female",0.533333
Chloe Rose Naturelle Intense for Women - 1.6 oz EDP Spray,"Chloe Rose Naturelle Intense for Women - 1.6 oz EDP Spray, woody,rose,citrus,powdery,aromatic, moderate, moderate, female",1.0
Yvonne's Perfume,"Yvonne's Perfume, fruity,aromatic,sweet,floral,balsamic,fresh spicy,woody,rose,vanilla,citrus, moderate, moderate, female",1.0
Loewe Esencia De for Men - 3.4 oz EDT Spray,"Loewe Esencia De for Men - 3.4 oz EDT Spray, woody,earthy,mossy,aromatic,lavender,powdery, long lasting, moderate, male",1.0
"Lattafa Asad Bourbon for Unisex Eau de Parfum Spray, 3.4 Ounce / 100 ml","Lattafa Asad Bourbon for Unisex Eau de Parfum Spray, 3.4 Ounce / 100 ml, vanilla,cacao,aromatic,sweet,lavender,amber,fresh spicy,warm spicy,soft spicy,powdery, long lasting, strong, male",0.83
Khamrah | Eau De Parfum 100ml | Maison Alhambra,"Khamrah | Eau De Parfum 100ml | Maison Alhambra, sweet,warm spicy,vanilla,amber,cinnamon,woody,fresh spicy,fruity, long lasting, strong, unisex",0.78
